listing_id,sku_id,product_title,category,brand,vertical,impression-date,revenue,product_views,product_clicks,sales,click_through_rate,conversion_rate,average_selling_price
LSTSHKHGTFZTSYKGSHAZ73T74,WEEGROSR-PLASTIC,"WEEGRO Plastic Shoe Stand Red, 3 Shelves, DIYDo-It-Yourself",LivingRoomSF,WEEGRO,SmallShoeRack,2026-06-02,0.0,11,14,0,127.27,0.0,0.0
LSTCFTHGUNBFGTTGCRAGKEUM9,WEEGRO-CT-TEAKRD,"WEEGRO Engineered Wood Coffee Table Finish Color - TEAK WOOD, DIYDo-It-Yourself",LivingRoomLF,WEEGRO,CoffeeAndCentreTable,2026-06-02,0.0,480,8,0,1.67,0.0,0.0
LSTCFTHJ27TG4VKPZWMRN9PE4,WEEGRO-CT-TFLOWER,"WEEGRO Engineered Wood Coffee Table Finish Color - TEAK WOOD, DIYDo-It-Yourself",LivingRoomLF,WEEGRO,CoffeeAndCentreTable,2026-06-02,0.0,425,11,0,2.59,0.0,0.0
LSTCFTGYFNVWDUHNJFW8QAPLD,WEEGRO-CT-PL,"WEEGRO Wooden Tea table|Teapoy|Tea Table|DIY Wooden Table Engineered Wood Coffee Table Finish Color - Brown, DIYDo-It-Yourself",LivingRoomLF,WEEGRO,CoffeeAndCentreTable,2026-06-02,0.0,1246,81,0,6.5,0.0,0.0
LSTZLAHM9WJMQFFADHJSKCPGK,WEEGRO-CT-TEAK-PL,"WEEGRO WEEGRO Work Station Tray Furniture Accessories, Wood",GeneralUtilityFurnitureSF,WEEGRO,FurnitureAccessory,2026-06-02,0.0,5,0,0,0.0,0.0,0.0
LSTCFTHGUM8G8XBUV5WPIUPJW,WEEGRO-CT-TEAKR,"WEEGRO Engineered Wood Coffee Table Finish Color - TEAK WOOD, DIYDo-It-Yourself",LivingRoomLF,WEEGRO,CoffeeAndCentreTable,2026-06-02,0.0,277,13,0,4.69,0.0,0.0
LSTCFTGHEMDSHRHNZDX1P29H6,RMDF1,"WEEGRO Engineered Wood Coffee Table Finish Color - DARK BROWN, DIYDo-It-Yourself",LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-06-02,0.0,9,25,0,277.78,0.0,0.0
LSTCFTGDDBYMAZQCQ8X2BLN1L,WEEGRO-CT-M1,"WEEGRO Engineered Wood Coffee Table Finish Color - Brown, DIYDo-It-Yourself",LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-06-02,0.0,26,38,0,146.15,0.0,0.0
LSTCFTHGMJZGMGDGXZCXYDAPW,WEEGRO-CT-PLASTIC,"WEEGRO Plastic Coffee Table Finish Color - Brown, DIYDo-It-Yourself",LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-06-02,0.0,15,127,0,846.67,0.0,0.0
LSTSHKHGTFZTSYKGSHAZ73T74,WEEGROSR-PLASTIC,"WEEGRO Plastic Shoe Stand Red, 3 Shelves, DIYDo-It-Yourself",LivingRoomSF,WEEGRO,SmallShoeRack,2026-06-03,0.0,13,37,0,284.62,0.0,0.0
LSTDNTHGMHSZX8GYZHKBSH5DL,WEEGRO-DINING,"WEEGRO Plastic 4 Seater Dining Table Finish Color - Cadbury, DIYDo-It-Yourself",Dining&KitchenLF,WEEGRO,DiningTable,2026-06-03,0.0,245,13,0,5.31,0.0,0.0
LSTCFTHJ27TG4VKPZWMRN9PE4,WEEGRO-CT-TFLOWER,"WEEGRO Engineered Wood Coffee Table Finish Color - TEAK WOOD, DIYDo-It-Yourself",LivingRoomLF,WEEGRO,CoffeeAndCentreTable,2026-06-03,0.0,343,10,0,2.92,0.0,0.0
LSTCFTHGUNBFGTTGCRAGKEUM9,WEEGRO-CT-TEAKRD,"WEEGRO Engineered Wood Coffee Table Finish Color - TEAK WOOD, DIYDo-It-Yourself",LivingRoomLF,WEEGRO,CoffeeAndCentreTable,2026-06-03,0.0,386,17,0,4.4,0.0,0.0
LSTCFTGYFNVWDUHNJFW8QAPLD,WEEGRO-CT-PL,"WEEGRO Wooden Tea table|Teapoy|Tea Table|DIY Wooden Table Engineered Wood Coffee Table Finish Color - Brown, DIYDo-It-Yourself",LivingRoomLF,WEEGRO,CoffeeAndCentreTable,2026-06-03,0.0,1101,76,0,6.9,0.0,0.0
LSTZLAHM9WJMQFFADHJSKCPGK,WEEGRO-CT-TEAK-PL,"WEEGRO WEEGRO Work Station Tray Furniture Accessories, Wood",GeneralUtilityFurnitureSF,WEEGRO,FurnitureAccessory,2026-06-03,0.0,4,0,0,0.0,0.0,0.0
LSTZLAHMBZRFC4W3QY3QWJ41J,Weegro-IT,"WEEGRO WEEGRO-IT Table Turning Mechanism Furniture Accessories, Steel",GeneralUtilityFurnitureSF,WEEGRO,FurnitureAccessory,2026-06-03,0.0,7,0,0,0.0,0.0,0.0
LSTCFTHGUM8G8XBUV5WPIUPJW,WEEGRO-CT-TEAKR,"WEEGRO Engineered Wood Coffee Table Finish Color - TEAK WOOD, DIYDo-It-Yourself",LivingRoomLF,WEEGRO,CoffeeAndCentreTable,2026-06-03,0.0,212,10,0,4.72,0.0,0.0
LSTCFTGHEMDSHRHNZDX1P29H6,RMDF1,"WEEGRO Engineered Wood Coffee Table Finish Color - DARK BROWN, DIYDo-It-Yourself",LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-06-03,0.0,7,24,0,342.86,0.0,0.0
LSTCFTGDDBYMAZQCQ8X2BLN1L,WEEGRO-CT-M1,"WEEGRO Engineered Wood Coffee Table Finish Color - Brown, DIYDo-It-Yourself",LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-06-03,1839.0,763,191,1,25.03,0.52,1839.0
LSTCFTHGMJZGMGDGXZCXYDAPW,WEEGRO-CT-PLASTIC,"WEEGRO Plastic Coffee Table Finish Color - Brown, DIYDo-It-Yourself",LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-06-03,2898.0,30,148,3,493.33,2.03,966.0
LSTSHKHGTFZTSYKGSHAZ73T74,WEEGROSR-PLASTIC,"WEEGRO Plastic Shoe Stand Red, 3 Shelves, DIYDo-It-Yourself",LivingRoomSF,WEEGRO,SmallShoeRack,2026-06-04,0.0,16,52,0,325.0,0.0,0.0
LSTDNTHGMHSZX8GYZHKBSH5DL,WEEGRO-DINING,"WEEGRO Plastic 4 Seater Dining Table Finish Color - Cadbury, DIYDo-It-Yourself",Dining&KitchenLF,WEEGRO,DiningTable,2026-06-04,0.0,176,9,0,5.11,0.0,0.0
LSTZLAHMBZRFC4W3QY3QWJ41J,Weegro-IT,"WEEGRO WEEGRO-IT Table Turning Mechanism Furniture Accessories, Steel",GeneralUtilityFurnitureSF,WEEGRO,FurnitureAccessory,2026-06-04,0.0,4,0,0,0.0,0.0,0.0
LSTZLAHM9WJMQFFADHJSKCPGK,WEEGRO-CT-TEAK-PL,"WEEGRO WEEGRO Work Station Tray Furniture Accessories, Wood",GeneralUtilityFurnitureSF,WEEGRO,FurnitureAccessory,2026-06-04,0.0,43,0,0,0.0,0.0,0.0
LSTCFTHGUM8G8XBUV5WPIUPJW,WEEGRO-CT-TEAKR,"WEEGRO Engineered Wood Coffee Table Finish Color - TEAK WOOD, DIYDo-It-Yourself",LivingRoomLF,WEEGRO,CoffeeAndCentreTable,2026-06-04,0.0,260,20,0,7.69,0.0,0.0
LSTCFTGHEMDSHRHNZDX1P29H6,RMDF1,"WEEGRO Engineered Wood Coffee Table Finish Color - DARK BROWN, DIYDo-It-Yourself",LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-06-04,0.0,15,21,0,140.0,0.0,0.0
LSTCFTHGMJZGMGDGXZCXYDAPW,WEEGRO-CT-PLASTIC,"WEEGRO Plastic Coffee Table Finish Color - Brown, DIYDo-It-Yourself",LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-06-04,1921.0,21,139,2,661.9,1.44,960.5
LSTCFTGDDBYMAZQCQ8X2BLN1L,WEEGRO-CT-M1,"WEEGRO Engineered Wood Coffee Table Finish Color - Brown, DIYDo-It-Yourself",LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-06-04,18381.0,2101,769,10,36.6,1.3,1838.1
LSTCFTHJ27TG4VKPZWMRN9PE4,WEEGRO-CT-TFLOWER,"WEEGRO Engineered Wood Coffee Table Finish Color - TEAK WOOD, DIYDo-It-Yourself",LivingRoomLF,WEEGRO,CoffeeAndCentreTable,2026-06-04,0.0,393,9,0,2.29,0.0,0.0
LSTCFTHGUNBFGTTGCRAGKEUM9,WEEGRO-CT-TEAKRD,"WEEGRO Engineered Wood Coffee Table Finish Color - TEAK WOOD, DIYDo-It-Yourself",LivingRoomLF,WEEGRO,CoffeeAndCentreTable,2026-06-04,0.0,397,15,0,3.78,0.0,0.0
LSTCFTGYFNVWDUHNJFW8QAPLD,WEEGRO-CT-PL,"WEEGRO Wooden Tea table|Teapoy|Tea Table|DIY Wooden Table Engineered Wood Coffee Table Finish Color - Brown, DIYDo-It-Yourself",LivingRoomLF,WEEGRO,CoffeeAndCentreTable,2026-06-04,0.0,1076,72,0,6.69,0.0,0.0
LSTZLAHMBZRFC4W3QY3QWJ41J,Weegro-IT,"WEEGRO WEEGRO-IT Table Turning Mechanism Furniture Accessories, Steel",GeneralUtilityFurnitureSF,WEEGRO,FurnitureAccessory,2026-06-05,0.0,1,0,0,0.0,0.0,0.0
LSTZLAHM9WJMQFFADHJSKCPGK,WEEGRO-CT-TEAK-PL,"WEEGRO WEEGRO Work Station Tray Furniture Accessories, Wood",GeneralUtilityFurnitureSF,WEEGRO,FurnitureAccessory,2026-06-05,0.0,2,0,0,0.0,0.0,0.0
LSTCFTHJ27TG4VKPZWMRN9PE4,WEEGRO-CT-TFLOWER,"WEEGRO Engineered Wood Coffee Table Finish Color - TEAK WOOD, DIYDo-It-Yourself",LivingRoomLF,WEEGRO,CoffeeAndCentreTable,2026-06-05,0.0,336,14,0,4.17,0.0,0.0
LSTCFTHGUNBFGTTGCRAGKEUM9,WEEGRO-CT-TEAKRD,"WEEGRO Engineered Wood Coffee Table Finish Color - TEAK WOOD, DIYDo-It-Yourself",LivingRoomLF,WEEGRO,CoffeeAndCentreTable,2026-06-05,0.0,340,14,0,4.12,0.0,0.0
LSTCFTGYFNVWDUHNJFW8QAPLD,WEEGRO-CT-PL,"WEEGRO Wooden Tea table|Teapoy|Tea Table|DIY Wooden Table Engineered Wood Coffee Table Finish Color - Brown, DIYDo-It-Yourself",LivingRoomLF,WEEGRO,CoffeeAndCentreTable,2026-06-05,0.0,889,37,0,4.16,0.0,0.0
LSTCFTHGUM8G8XBUV5WPIUPJW,WEEGRO-CT-TEAKR,"WEEGRO Engineered Wood Coffee Table Finish Color - TEAK WOOD, DIYDo-It-Yourself",LivingRoomLF,WEEGRO,CoffeeAndCentreTable,2026-06-05,0.0,194,11,0,5.67,0.0,0.0
LSTSHKHGTFZTSYKGSHAZ73T74,WEEGROSR-PLASTIC,"WEEGRO Plastic Shoe Stand Red, 3 Shelves, DIYDo-It-Yourself",LivingRoomSF,WEEGRO,SmallShoeRack,2026-06-05,0.0,5,30,0,600.0,0.0,0.0
LSTDNTHGMHSZX8GYZHKBSH5DL,WEEGRO-DINING,"WEEGRO Plastic 4 Seater Dining Table Finish Color - Cadbury, DIYDo-It-Yourself",Dining&KitchenLF,WEEGRO,DiningTable,2026-06-05,0.0,245,5,0,2.04,0.0,0.0
LSTZLAHMBZRFC4W3QY3QWJ41J,Weegro-IT,"WEEGRO WEEGRO-IT Table Turning Mechanism Furniture Accessories, Steel",GeneralUtilityFurnitureSF,WEEGRO,FurnitureAccessory,2026-06-06,0.0,2,0,0,0.0,0.0,0.0
LSTCFTGHEMDSHRHNZDX1P29H6,RMDF1,"WEEGRO Engineered Wood Coffee Table Finish Color - DARK BROWN, DIYDo-It-Yourself",LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-06-06,0.0,6,6,0,100.0,0.0,0.0
LSTCFTHGMJZGMGDGXZCXYDAPW,WEEGRO-CT-PLASTIC,"WEEGRO Plastic Coffee Table Finish Color - Brown, DIYDo-It-Yourself",LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-06-06,966.0,24,111,1,462.5,0.9,966.0
LSTCFTGDDBYMAZQCQ8X2BLN1L,WEEGRO-CT-M1,"WEEGRO Engineered Wood Coffee Table Finish Color - Brown, DIYDo-It-Yourself",LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-06-06,14570.0,1419,557,8,39.25,1.44,1821.25
LSTDNTHGMHSZX8GYZHKBSH5DL,WEEGRO-DINING,"WEEGRO Plastic 4 Seater Dining Table Finish Color - Cadbury, DIYDo-It-Yourself",Dining&KitchenLF,WEEGRO,DiningTable,2026-06-06,0.0,355,3,0,0.85,0.0,0.0
LSTSHKHGTFZTSYKGSHAZ73T74,WEEGROSR-PLASTIC,"WEEGRO Plastic Shoe Stand Red, 3 Shelves, DIYDo-It-Yourself",LivingRoomSF,WEEGRO,SmallShoeRack,2026-06-06,0.0,22,18,0,81.82,0.0,0.0
LSTCFTHGUM8G8XBUV5WPIUPJW,WEEGRO-CT-TEAKR,"WEEGRO Engineered Wood Coffee Table Finish Color - TEAK WOOD, DIYDo-It-Yourself",LivingRoomLF,WEEGRO,CoffeeAndCentreTable,2026-06-06,0.0,226,13,0,5.75,0.0,0.0
LSTCFTHJ27TG4VKPZWMRN9PE4,WEEGRO-CT-TFLOWER,"WEEGRO Engineered Wood Coffee Table Finish Color - TEAK WOOD, DIYDo-It-Yourself",LivingRoomLF,WEEGRO,CoffeeAndCentreTable,2026-06-06,0.0,383,13,0,3.39,0.0,0.0
LSTCFTHGUNBFGTTGCRAGKEUM9,WEEGRO-CT-TEAKRD,"WEEGRO Engineered Wood Coffee Table Finish Color - TEAK WOOD, DIYDo-It-Yourself",LivingRoomLF,WEEGRO,CoffeeAndCentreTable,2026-06-06,0.0,344,25,0,7.27,0.0,0.0
LSTCFTGYFNVWDUHNJFW8QAPLD,WEEGRO-CT-PL,"WEEGRO Wooden Tea table|Teapoy|Tea Table|DIY Wooden Table Engineered Wood Coffee Table Finish Color - Brown, DIYDo-It-Yourself",LivingRoomLF,WEEGRO,CoffeeAndCentreTable,2026-06-06,0.0,890,49,0,5.51,0.0,0.0
LSTCFTHJ27TG4VKPZWMRN9PE4,WEEGRO-CT-TFLOWER,"WEEGRO Engineered Wood Coffee Table Finish Color - TEAK WOOD, DIYDo-It-Yourself",LivingRoomLF,WEEGRO,CoffeeAndCentreTable,2026-05-31,0.0,277,17,0,6.14,0.0,0.0
LSTCFTHGUNBFGTTGCRAGKEUM9,WEEGRO-CT-TEAKRD,"WEEGRO Engineered Wood Coffee Table Finish Color - TEAK WOOD, DIYDo-It-Yourself",LivingRoomLF,WEEGRO,CoffeeAndCentreTable,2026-05-31,0.0,479,20,0,4.18,0.0,0.0
LSTCFTGYFNVWDUHNJFW8QAPLD,WEEGRO-CT-PL,"WEEGRO Wooden Tea table|Teapoy|Tea Table|DIY Wooden Table Engineered Wood Coffee Table Finish Color - Brown, DIYDo-It-Yourself",LivingRoomLF,WEEGRO,CoffeeAndCentreTable,2026-05-31,0.0,1184,41,0,3.46,0.0,0.0
LSTCFTGHEMDSHRHNZDX1P29H6,RMDF1,"WEEGRO Engineered Wood Coffee Table Finish Color - DARK BROWN, DIYDo-It-Yourself",LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-06-05,0.0,5,8,0,160.0,0.0,0.0
LSTCFTHGMJZGMGDGXZCXYDAPW,WEEGRO-CT-PLASTIC,"WEEGRO Plastic Coffee Table Finish Color - Brown, DIYDo-It-Yourself",LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-06-05,1849.0,28,130,2,464.29,1.54,924.5
LSTCFTGDDBYMAZQCQ8X2BLN1L,WEEGRO-CT-M1,"WEEGRO Engineered Wood Coffee Table Finish Color - Brown, DIYDo-It-Yourself",LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-06-05,20221.0,1882,790,11,41.98,1.39,1838.27
